iter	RMSE
0	1.1573153
1	1.11503151
2	1.076176329
3	1.040137497
4	1.006918882
5	0.9762670377
6	0.9482892845
7	0.9221947493
8	0.8982308165
9	0.8761915751
10	0.8560856631
11	0.8377631363
12	0.8172394162
13	0.798525647
14	0.7804132024
15	0.7634832127
16	0.7474023549
17	0.7336699135
18	0.721210787
19	0.7092841264
20	0.6982622498
21	0.6882396054
22	0.6795106127
23	0.6707408911
24	0.6626337587
25	0.6557549966
26	0.6490979527
27	0.6432219031
28	0.6378969451
29	0.6328812117
30	0.6283754348
31	0.6243098195
32	0.6203772745
33	0.6159777225
34	0.6118999127
35	0.6082752731
36	0.6049604728
37	0.6019133668
38	0.5991997342
39	0.596779178
40	0.5944918366
41	0.5924009588
42	0.5905651059
43	0.5888618996
44	0.5872760383
45	0.5856870402
46	0.584063677
47	0.5826605023
48	0.5815016472
49	0.5804112265
50	0.5793257644
51	0.5784439613
52	0.5773598144
53	0.5760774185
54	0.5748541595
55	0.5737255532
56	0.57252429
57	0.5715584465
58	0.5706735768
59	0.5696799393
60	0.5690117013
61	0.5679289297
62	0.5668038072
63	0.5657536242
64	0.5648868659
65	0.5642629459
66	0.5636871171
67	0.5631702931
68	0.5625129653
69	0.5620654305
70	0.5615452431
71	0.5611721481
72	0.5605344051
73	0.5600980182
74	0.5594904127
75	0.5591810439
76	0.5588984566
77	0.5585604987
78	0.5582784361
79	0.5579526797
80	0.5574922172
81	0.5570504616
82	0.5565033493
83	0.5557916137
84	0.5552915518
85	0.5547446879
86	0.5542863027
87	0.5536175585
88	0.5532923865
89	0.5528098004
90	0.5521531806
91	0.5517206308
92	0.5512137419
93	0.5507339866
94	0.550376274
95	0.5499345819
96	0.549560192
97	0.5490339602
98	0.5487107955
99	0.5483489967
