iter	Passed	Remaining
0	519	324233
1	844	263083
2	1112	230753
3	1419	220384
4	1709	211938
5	1965	202816
6	2263	199821
7	2601	200672
8	2934	200834
9	3266	200887
10	3591	200463
11	3966	202616
12	4363	205440
13	4661	203434
14	4989	202907
15	5271	200656
16	5582	199656
17	5871	197997
18	6140	195843
19	6454	195247
20	6644	191101
21	6901	189165
22	7166	187572
23	7441	186354
24	7710	185040
25	7969	183613
26	8147	180460
27	8462	180428
28	8671	178205
29	8909	176711
30	9177	175857
31	9473	175550
32	9738	174698
33	10048	174668
34	10354	174544
35	10624	173826
36	10909	173368
37	11157	172360
38	11426	171695
39	11676	170770
40	11908	169627
41	12163	168837
42	12389	167689
43	12658	167145
44	12929	166643
45	13187	165990
46	13455	165478
47	13744	165224
48	14048	165143
49	14315	164627
50	14607	164407
51	14857	163717
52	15147	163480
53	15402	162867
54	15674	162449
55	15971	162284
56	16206	161498
57	16465	160963
58	16716	160367
59	17033	160402
60	17322	160158
61	17674	160496
62	17947	160099
63	18292	160349
64	18654	160715
65	18943	160441
66	19213	160019
67	19530	159979
68	19878	160180
69	20171	159934
70	20416	159304
71	20647	158585
72	20917	158169
73	21213	157956
74	21534	157921
75	21854	157870
76	22162	157729
77	22468	157566
78	22805	157616
79	23177	157895
80	23543	158117
81	23809	157663
82	24119	157503
83	24469	157593
84	24792	157505
85	25230	158129
86	25519	157812
87	25874	157890
88	26224	157934
89	26536	157743
90	26909	157908
91	27183	157488
92	27461	157093
93	27695	156452
94	27989	156153
95	28380	156389
96	28610	155736
97	28843	155104
98	29138	154814
99	29451	154618
100	29767	154439
101	30037	154013
102	30368	153907
103	30773	154164
104	31096	154004
105	31337	153435
106	31625	153100
107	31901	152713
108	32202	152446
109	32560	152444
110	32823	151995
111	33139	151792
112	33406	151364
113	33696	151041
114	33958	150599
115	34198	150062
116	34473	149678
117	34727	149210
118	35001	148828
119	35288	148504
120	35556	148103
121	35908	148047
122	36152	147550
123	36436	147215
124	36727	146909
125	37104	146946
126	37379	146573
127	37735	146520
128	38025	146206
129	38323	145922
130	38607	145589
131	38906	145308
132	39183	144950
133	39519	144805
134	39818	144526
135	40110	144219
136	40457	144111
137	40779	143909
138	41116	143758
139	41454	143611
140	41724	143225
141	42064	143078
142	42447	143073
143	42752	142805
144	43211	143043
145	43603	143055
146	43935	142866
147	44338	142901
148	44693	142777
149	45056	142679
150	45490	142796
151	45862	142717
152	46194	142509
153	46495	142203
154	46778	141844
155	47060	141483
156	47401	141297
157	47696	140977
158	48037	140789
159	48355	140533
160	48738	140464
161	49064	140228
162	49390	139991
163	49746	139835
164	50017	139442
165	50373	139284
166	50685	139005
167	50950	138596
168	51188	138119
169	51485	137800
170	51746	137384
171	52108	137239
172	52531	137249
173	52954	137254
174	53281	137009
175	53566	136656
176	53838	136269
177	54122	135915
178	54429	135616
179	54701	135233
180	54999	134916
181	55238	134453
182	55564	134204
183	55825	133800
184	56093	133412
185	56407	133134
186	56761	132950
187	57050	132611
188	57402	132420
189	57696	132095
190	58046	131895
191	58429	131771
192	58880	131795
193	59121	131347
194	59530	131273
195	59915	131141
196	60243	130883
197	60588	130662
198	60874	130314
199	61152	129948
200	61460	129647
201	61902	129628
202	62385	129687
203	62790	129583
204	63169	129420
205	63658	129479
206	64055	129349
207	64308	128926
208	64612	128605
209	64890	128236
210	65118	127767
211	65397	127400
212	65685	127054
213	66078	126908
214	66341	126511
215	66638	126182
216	66947	125874
217	67228	125513
218	67517	125168
219	67795	124805
220	68061	124420
221	68360	124095
222	68717	123876
223	69049	123611
224	69367	123319
225	69829	123283
226	70213	123106
227	70610	122948
228	70983	122748
229	71374	122578
230	71639	122190
231	71903	121801
232	72176	121430
233	72474	121099
234	72762	120754
235	73031	120377
236	73389	120148
237	73692	119827
238	73972	119470
239	74249	119108
240	74559	118800
241	74844	118451
242	75201	118217
243	75559	117984
244	75914	117744
245	76224	117434
246	76564	117171
247	76892	116888
248	77189	116559
249	77468	116203
250	77750	115851
251	78013	115472
252	78336	115182
253	78651	114880
254	78916	114506
255	79205	114166
256	79450	113766
257	79731	113417
258	80017	113074
259	80313	112747
260	80582	112382
261	80877	112056
262	81137	111680
263	81397	111305
264	81769	111082
265	82002	110672
266	82286	110331
267	82588	110014
268	82875	109679
269	83168	109350
270	83488	109058
271	83811	108769
272	84111	108451
273	84382	108096
274	84724	107831
275	85023	107511
276	85289	107150
277	85552	106786
278	85824	106434
279	86133	106128
280	86386	105754
281	86678	105427
282	86985	105120
283	87268	104783
284	87558	104455
285	87886	104173
286	88205	103879
287	88507	103566
288	88798	103239
289	89027	102842
290	89323	102522
291	89610	102193
292	89810	101765
293	90127	101470
294	90594	101342
295	90920	101056
296	91207	100727
297	91500	100404
298	91813	100104
299	92068	99741
300	92326	99381
301	92589	99027
302	93011	98844
303	93232	98446
304	93522	98122
305	93809	97794
306	94055	97425
307	94323	97079
308	94599	96742
309	94856	96386
310	95149	96067
311	95374	95679
312	95645	95340
313	95906	94989
314	96209	94682
315	96520	94382
316	96813	94064
317	97185	93823
318	97486	93513
319	97812	93227
320	98164	92965
321	98409	92602
322	98671	92256
323	98962	91937
324	99245	91611
325	99476	91237
326	99698	90856
327	99944	90498
328	100220	90167
